,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
235,만리성,서울특별시 종로구 대학로12길 61 계우빌딩,정통 중식 / 일반 중식,만원-2만원,2,
236,서유기마라탕&훠궈,서울특별시 종로구 대명길 40 명륜빌딩 1F,정통 중식 / 일반 중식,만원-2만원,1,
237,하이디라오,서울특별시 종로구 대학로 146 혜화동씨티밸리 3F,기타 중식,2만원-3만원,28,4.0
238,계향각,서울특별시 종로구 동숭길 86  1F,정통 중식 / 일반 중식,4만원 이상,4,4.3
239,벅벅,서울특별시 종로구 명륜길 46-1,브런치 / 버거 / 샌드위치,만원 미만,10,4.1
240,피자보이시나,서울특별시 종로구 창경궁로26길 38 2F,기타 양식,만원 미만,9,4.0
241,신선식탁 ,서울특별시 종로구 율곡로13가길 4,기타 양식,만원 미만,30,3.9
242,함박웃음식당,서울특별시 종로구 동숭길 51,퓨전 양식,만원 미만,12,3.8
243,혜화동버거,서울특별시 종로구 동숭3길 6-4 1F,브런치 / 버거 / 샌드위치,만원 미만,20,3.5
244,퀸스타운,서울특별시 종로구 대학로8가길 103,퓨전 양식,만원 미만,10,
245,롤링파스타,서울특별시 종로구 대학로10길 24 2F,기타 양식,만원 미만,4,
246,반프,서울특별시 종로구 명륜길 13,이탈리안,만원 미만,4,
247,빌런치팬케이크,서울특별시 종로구 대학로11길 34-1 1F,브런치 / 버거 / 샌드위치,만원 미만,2,
248,퀴즈노스,서울특별시 종로구 대학로 86 방송통신대 본관 1F,브런치 / 버거 / 샌드위치,만원 미만,1,
249,샐러드박스,서울특별시 종로구 창경궁로 301 1F,기타 양식,만원 미만,1,
250,홈스테드,서울특별시 종로구 대학로8길 25,브런치 / 버거 / 샌드위치,만원 미만,2,
251,4.2 버거크루,서울특별시 종로구 성균관로6길 6 1F,브런치 / 버거 / 샌드위치,만원 미만,3,
252,마마그릭,서울특별시 종로구 성균관로 21,기타 양식,만원 미만,2,
253,맥도날드,서울특별시 종로구 창경궁로 241-1,브런치 / 버거 / 샌드위치,만원 미만,1,
254,노브랜드버거,서울특별시 종로구 대학로 129,브런치 / 버거 / 샌드위치,만원 미만,1,
255,KFC,서울특별시 종로구 대학로 120,브런치 / 버거 / 샌드위치,만원 미만,3,
256,니뽕내뽕,서울특별시 종로구 동숭길 76 2F,퓨전 양식,만원 미만,1,
257,에그드랍,서울특별시 종로구 대학로 83,브런치 / 버거 / 샌드위치,만원 미만,1,
258,프라이팬,서울특별시 종로구 명륜3길 4,퓨전 양식,만원 미만,1,
259,퀸즈샐러드,서울특별시 종로구 동숭길 47,기타 양식,만원 미만,1,
260,Osso파스타,서울특별시 종로구 낙산길 21,기타 양식,만원-2만원,10,4.5
261,버거파크,서울특별시 종로구 대학로11길 5 1F,브런치 / 버거 / 샌드위치,만원-2만원,95,4.4
262,핏제리아오,서울특별시 종로구 동숭길 86 2 2-3F,이탈리안,만원-2만원,109,4.3
263,리본윈도우,서울특별시 종로구 대학로14길 25-1 윤서빌딩 1F,브런치 / 버거 / 샌드위치,만원-2만원,29,4.2
264,아도레쿠치나,서울특별시 종로구 혜화로3길 20,기타 양식,만원-2만원,8,4.2
265,128Pan,서울특별시 종로구 동숭4길 14 갤럭시빌딩,기타 양식,만원-2만원,57,4.0
266,파스타마켓,서울특별시 종로구 대학로11길 9-5,이탈리안,만원-2만원,23,4.0
267,프리모바치오바치,서울특별시 종로구 대학로10길 5,이탈리안,만원-2만원,53,3.9
268,비어오크,서울특별시 종로구 대학로 151,스테이크 / 바베큐,만원-2만원,24,3.9
269,방켓,서울특별시 종로구 동숭2길 3,브런치 / 버거 / 샌드위치,만원-2만원,30,3.6
270,피터팬스테이크,서울특별시 종로구 대학로14길 21 1F,스테이크 / 바베큐,만원-2만원,12,3.5
271,카르페가든,서울특별시 종로구 이화장길 36-2,이탈리안,만원-2만원,14,3.3
272,서양집,서울특별시 종로구 대학로9길 23-2,이탈리안,만원-2만원,17,3.2
273,왓더피자,서울특별시 종로구 동숭길 86,이탈리안,만원-2만원,10,
274,마가리,서울특별시 종로구 대학로 52,퓨전 양식,만원-2만원,5,
275,라보테가,서울특별시 종로구 대학로8가길 26,이탈리안,만원-2만원,7,
276,서가앤쿡,서울특별시 종로구 동숭길 55,패밀리 레스토랑,만원-2만원,9,
