,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
408,믹스테잎,서울특별시 서초구 양재천로21길 8,치킨 / 호프 / 펍,만원-2만원,1,
409,Mr Monk,서울특별시 서초구 강남대로16길 8,치킨 / 호프 / 펍,만원-2만원,1,
410,와따가,서울특별시 서초구 강남대로34길 46,전통 주점 / 포차,만원-2만원,1,
411,술래잡기,서울특별시 서초구 마방로10길 53,치킨 / 호프 / 펍,만원-2만원,1,
412,느린마을양조장,서울특별시 서초구 강남대로27길 7-9 1F,전통 주점 / 포차,2만원-3만원,20,3.0
413,레꽁디멍,서울특별시 서초구 양재천로31길 15,칵테일 / 와인,2만원-3만원,10,
414,심야식당,서울특별시 서초구 남부순환로356길 58 드림빌딩,일반 주점,2만원-3만원,6,
415,극장,서울특별시 서초구 강남대로18길 25 101호,칵테일 / 와인,2만원-3만원,2,
416,문종성시,서울특별시 서초구 남부순환로350길 59-19 2F,전통 주점 / 포차,2만원-3만원,1,
417,오즈퓨전포차,서울특별시 서초구 논현로31길 64  101호,일반 주점,2만원-3만원,2,
418,자맛풍,서울특별시 서초구 남부순환로350길 59-19 2F,일반 주점,3만원-4만원,4,
419,도곡옥,서울특별시 서초구 양재천로 143-6 1F,칵테일 / 와인,3만원-4만원,5,
