,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
26,속초코다리냉면,서울특별시 중구 소공로 63 신세계백화점 본점 B1,국수 / 면 요리,만원 미만,6,
27,삼진어묵,서울특별시 중구 남대문로 81 롯데백화점 본점 B1,기타 한식,만원 미만,5,
28,낙원식당,서울특별시 중구 퇴계로12길 59,기타 한식,만원 미만,1,
29,육대장,서울특별시 중구 명동8나길 45,탕 / 찌개 / 전골,만원 미만,3,
30,오매가매,서울특별시 중구 퇴계로 188 B1,퓨전 한식,만원 미만,3,
31,곰국수손만두,서울특별시 중구 퇴계로36길 32,한정식 / 백반 / 정통 한식,만원 미만,4,
32,경주장모님미역국,서울특별시 중구 퇴계로 72 B1,탕 / 찌개 / 전골,만원 미만,2,
33,후암동칼국수,서울특별시 용산구 후암로 31,국수 / 면 요리,만원 미만,4,
34,김치만선생,서울특별시 중구 필동로 30-1,탕 / 찌개 / 전골,만원 미만,2,
35,남산설렁탕,서울특별시 중구 소파로 91,탕 / 찌개 / 전골,만원 미만,1,
36,에그머니,서울특별시 중구 소파로 142,기타 한식,만원 미만,3,
37,간식마당,서울특별시 용산구 한강대로104길 77,기타 한식,만원 미만,1,
38,김가네,서울특별시 중구 명동10길 3-1,기타 한식,만원 미만,3,
39,뚱보식당,서울특별시 중구 퇴계로27길 14,고기 요리,만원 미만,2,
40,남도분식,서울특별시 중구 명동7길 21 1F 105호,기타 한식,만원 미만,3,
41,충무칼국수,서울특별시 중구 수표로 46-1,국수 / 면 요리,만원 미만,1,
42,골든키친,서울특별시 중구 삼일대로 343 대신파이낸스센터 B1,퓨전 한식,만원 미만,1,
43,남산순두부,서울특별시 중구 소파로 83,탕 / 찌개 / 전골,만원 미만,1,
44,할머니집,서울특별시 중구 명동9길 43,한정식 / 백반 / 정통 한식,만원 미만,1,
45,승승장구,서울특별시 중구 퇴계로16길 27,해산물 요리,만원 미만,1,
46,김삼보 김치찌개,서울특별시 중구 명동8나길 47,탕 / 찌개 / 전골,만원 미만,1,
47,호호미역,서울특별시 중구 소공로 46 상가 1F 106호,한정식 / 백반 / 정통 한식,만원 미만,3,
48,권셰프식탁,서울특별시 중구 명동8나길 35,한정식 / 백반 / 정통 한식,만원 미만,1,
49,신세대식품,서울특별시 중구 퇴계로 124-1 명동역지하쇼핑센터 A-1,기타 한식,만원 미만,1,
50,두끼,서울특별시 중구 명동길 14 눈스퀘어,기타 한식,만원 미만,1,
51,다미돈까스,서울특별시 중구 퇴계로24길 6-1,기타 한식,만원 미만,1,
52,먹보대장,서울특별시 중구 을지로 지하 58 을지로입구지하쇼핑센터 B1,기타 한식,만원 미만,4,
53,이삭토스트,서울특별시 중구 퇴계로 105,기타 한식,만원 미만,1,
54,원조남산돈까스1976,서울특별시 중구 소파로 103-1,기타 한식,만원 미만,1,
55,육쌈냉면,서울특별시 중구 명동4길 10 2F,국수 / 면 요리,만원 미만,1,
56,마포설렁탕,서울특별시 중구 퇴계로14길 15,탕 / 찌개 / 전골,만원 미만,1,
57,미스터순두부,서울특별시 중구 퇴계로27길 61,탕 / 찌개 / 전골,만원 미만,1,
58,육전면사무소,서울특별시 중구 소공로 46 남산쌍용프래티넘,한정식 / 백반 / 정통 한식,만원 미만,1,
59,성원식당,서울특별시 중구 명동10길 19-10,한정식 / 백반 / 정통 한식,만원 미만,1,
60,보울,서울특별시 중구 남대문로 81 롯데백화점 본점 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
61,명동면사랑찰솥밥,서울특별시 중구 명동2길 26 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
62,유천냉면,서울특별시 중구 명동3길 17 1F,국수 / 면 요리,만원 미만,3,
63,충남분식,서울특별시 중구 소파로4길 8,기타 한식,만원 미만,2,
64,보돌미역,서울특별시 중구 명동8나길 10 B1,한정식 / 백반 / 정통 한식,만원 미만,2,
65,놀부부대찌개&철판구이,서울특별시 중구 명동8나길 39,탕 / 찌개 / 전골,만원 미만,1,
66,원당감자탕,서울특별시 중구 명동8나길 35,탕 / 찌개 / 전골,만원 미만,1,
67,치라시,서울특별시 중구 남대문로 81 롯데백화점 본점 B1,기타 한식,만원 미만,1,
68,원조한치,서울특별시 중구 명동7길 14-5,기타 한식,만원 미만,1,
69,쉐프가만든떡볶이,서울특별시 중구 을지로 100 파인에비뉴 B1,기타 한식,만원 미만,1,
70,순대국가마솥족발,서울특별시 용산구 후암로 62,탕 / 찌개 / 전골,만원 미만,2,
71,맛있는집미가,서울특별시 중구 퇴계로42길 10-4,기타 한식,만원 미만,1,
72,명동칼국수,서울특별시 중구 을지로 56 5F,국수 / 면 요리,만원 미만,1,
73,약천,서울특별시 중구 명동7길 6,탕 / 찌개 / 전골,만원 미만,1,
74,맛뜨리아,서울특별시 중구 명동길 81,기타 한식,만원 미만,1,
75,남산분식당,서울특별시 중구 소파로 125 2F,기타 한식,만원 미만,1,
76,낭만김밥,서울특별시 중구 명동7길 21,기타 한식,만원 미만,2,
77,장독대김치찌개,서울특별시 중구 명동9가길 21 1F,탕 / 찌개 / 전골,만원 미만,1,
78,구이구이,서울특별시 중구 퇴계로36가길 43-5,한정식 / 백반 / 정통 한식,만원 미만,1,
79,초다짐,서울특별시 중구 퇴계로12길 19,한정식 / 백반 / 정통 한식,만원 미만,1,
80,Moon135,서울특별시 중구 퇴계로16길 23-2,기타 한식,만원 미만,1,
81,미성옥,서울특별시 중구 명동길 25-11 1F,탕 / 찌개 / 전골,만원-2만원,95,4.6
82,이남장,서울특별시 중구 삼일대로12길 16,탕 / 찌개 / 전골,만원-2만원,10,4.3
83,밀피유,서울특별시 중구 명동9길 17-3 2-3F,기타 한식,만원-2만원,8,4.2
84,명동영양센터,서울특별시 중구 명동2길 52 대용빌딩,탕 / 찌개 / 전골,만원-2만원,10,4.1
85,육통령,서울특별시 중구 명동8나길 37-2 1-3F,고기 요리,만원-2만원,13,4.1
86,장수갈비,서울특별시 중구 명동2길 54-1,고기 요리,만원-2만원,9,3.9
87,류경회관,서울특별시 중구 을지로 30 B1,국수 / 면 요리,만원-2만원,6,3.9
88,한성돈까스,서울특별시 중구 남대문로 81 롯데백화점 본점 B1,기타 한식,만원-2만원,7,3.8
89,충무로쭈꾸미불고기,서울특별시 중구 퇴계로31길 11,해산물 요리,만원-2만원,46,3.7
90,남산골산채집,서울특별시 중구 소파로 93,기타 한식,만원-2만원,23,3.7
91,명동함흥면옥,서울특별시 중구 명동10길 35-19,국수 / 면 요리,만원-2만원,38,3.6
92,필동해물,서울특별시 중구 필동로 30,해산물 요리,만원-2만원,12,3.6
93,봉피양,서울특별시 중구 남대문로 81 롯데백화점 본점 B1,국수 / 면 요리,만원-2만원,10,3.5
94,고봉삼계탕,서울특별시 중구 명동7길 21 명동아르누보센텀 2F,탕 / 찌개 / 전골,만원-2만원,15,3.5
95,헤르지아,서울특별시 중구 소파로 97 1F,기타 한식,만원-2만원,4,
96,남산도식후경,서울특별시 중구 남산공원길 627,한정식 / 백반 / 정통 한식,만원-2만원,3,
97,더식당,서울특별시 중구 명동10길 36 2F,해산물 요리,만원-2만원,4,
98,유가네닭갈비,서울특별시 중구 명동8가길 19 2F,닭 / 오리 요리,만원-2만원,5,
99,봉추찜닭,서울특별시 중구 명동10길 12,닭 / 오리 요리,만원-2만원,4,
100,오우가,서울특별시 중구 명동8가길 39,한정식 / 백반 / 정통 한식,만원-2만원,2,
101,서설,서울특별시 중구 소공로 46 남산쌍용플레티넘상가 105호,해산물 요리,만원-2만원,5,
102,서서갈비 (휴업중),서울특별시 중구 명동10길 35-10 1F,고기 요리,만원-2만원,3,
103,능라도,서울특별시 중구 명동길 1-8,국수 / 면 요리,만원-2만원,3,
