,group_21,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_22,group_23,group_24,group_25,group_26,group_27,group_28,group_29,group_30,group_31,group_32,group_33,group_34,group_35,group_36,group_37,group_38,group_39,group_40,group_41,group_42,group_43,group_44,group_45,group_46,group_47,group_48,group_49,group_50,group_51,group_52,group_53,group_54,group_55,group_56,group_57,group_58,group_59,group_60,group_61,group_62,group_63,group_64,group_65,group_66,group_67,group_68,group_69,group_70,group_71,group_72,group_73,group_74,group_75,group_76,group_77,group_78,group_79,group_80,group_81,group_82,group_83,group_84,group_85,group_86,group_87,group_88,group_89,group_90,group_91,group_92,group_93,group_94,group_95,group_96,group_97,group_98,group_99,group_100,group_101,group_102,group_103,group_104,group_105,group_106,group_107,group_108,group_109,group_110,group_111,group_112,group_113,group_114,group_115,group_116,group_117,group_118,group_119
33,241,61,34,87,42,13,2,22,137,0,17,10,0,63,10,8,11,53,66,2,4,22,43,1,13,43,2,4,33,31,7,0,1,47,539,2,75,7,50,76,22,4,10,8,5,1,4,121,28,6,7,340,19,1,49,3,4,0,65,24,22,20,66,13,166,0,0,8,16,2,25,95,11,49,90,1,11,5,0,178,0,10,12,10,6,21,58,26,4,10,2,2,142,0,13,39,3,5,14,19,29,17,27,19,0,0,3,23,22,9,2,2,26,29,41,8,4,2,0,2
34,18,21,4,3,3,2,0,5,3,1,0,1,0,8,1,1,1,8,5,1,0,6,2,0,0,9,1,0,2,2,1,0,0,9,23,0,10,3,25,3,23,1,0,3,0,0,0,7,1,1,3,20,0,0,2,0,3,0,1,1,2,1,6,1,13,0,0,1,0,0,0,5,1,9,5,0,0,0,0,3,0,0,1,1,0,0,13,1,0,1,0,0,5,0,0,19,2,0,0,2,6,1,1,1,0,0,1,0,1,0,0,0,2,2,5,0,0,0,1,0
35,31,38,16,6,4,1,0,4,5,0,2,0,1,15,1,5,1,9,8,0,0,1,1,0,1,2,8,0,7,22,5,0,0,13,45,3,8,2,6,10,31,2,3,0,0,0,0,12,1,1,2,33,2,0,8,2,7,0,6,7,2,2,6,3,22,0,0,3,5,0,0,8,0,11,11,0,0,1,0,7,0,1,5,1,0,5,5,0,0,8,0,2,9,0,8,3,0,0,0,1,8,1,3,0,0,0,1,5,0,0,1,0,2,3,9,1,0,0,0,0
36,7,2,8,2,0,0,0,0,2,0,0,0,1,3,0,1,1,1,4,2,1,0,1,0,2,4,0,0,2,0,0,0,0,2,14,0,6,2,2,2,13,0,0,0,0,0,1,6,1,0,1,13,1,0,2,0,1,0,1,2,2,1,2,1,2,0,0,1,2,0,1,1,1,2,4,0,2,0,0,5,0,0,1,1,0,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,1,0,0,1
37,4,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,16,0,0,0,2,2,6,0,0,1,0,0,0,0,0,0,0,26,1,0,2,0,0,0,1,3,2,0,2,1,3,0,0,0,0,0,0,2,0,2,5,0,0,0,0,2,0,0,1,0,0,2,2,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0
38,9,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,3,3,0,0,3,1,0,4,0,0,0,0,1,1,0,5,0,0,2,2,0,0,0,0,0,0,2,0,0,0,20,0,0,3,1,1,2,0,2,0,0,1,0,6,0,0,0,0,0,4,1,0,0,2,0,1,0,0,5,0,0,2,0,0,0,11,1,1,1,0,0,5,0,0,1,0,1,0,0,2,1,0,0,0,0,0,2,0,1,1,0,0,1,3,1,0,0,0,0
39,6,0,4,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,3,1,3,0,1,0,1,0,0,0,0,0,0,1,16,0,0,0,2,3,11,1,0,1,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,4,1,0,0,0,6,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,1,2,0,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,33,30,4,5,8,3,0,13,2,0,4,2,0,10,1,2,0,5,3,0,1,2,2,0,0,8,3,0,1,4,0,0,0,3,122,0,15,1,7,6,8,4,6,1,0,0,0,12,2,4,1,57,6,0,6,0,3,0,1,7,1,2,5,3,38,0,0,2,1,0,1,10,0,5,30,0,2,0,0,11,0,1,2,2,0,4,25,3,0,0,0,0,23,0,0,6,3,1,4,2,3,2,5,2,0,0,0,0,3,1,0,0,2,0,5,3,0,0,0,0
41,10,20,2,4,3,1,0,4,3,0,1,1,0,11,2,1,0,4,0,1,2,2,0,0,0,5,1,0,7,0,3,0,1,2,65,0,4,0,12,5,12,1,2,0,1,1,0,9,2,0,0,35,5,0,4,2,0,1,5,3,2,2,8,1,9,0,0,1,1,0,0,3,0,3,3,0,2,0,0,3,0,1,0,1,0,2,13,2,0,0,0,1,5,0,0,2,0,0,0,0,2,1,1,2,1,0,0,2,0,0,1,0,3,4,2,3,0,0,0,0
42,4,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
